"District","FIPS","Year","Free/Reduced Price Meal Eligibility","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2014-2015","Eligible For Reduced Lunch","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Not Eligible For Lunch","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Eligible For Free Lunch","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Eligible For Reduced Lunch","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2014-2015","Not Eligible For Lunch","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Free Lunch","Total Cohort Count","Number","19"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Reduced Lunch","Total Cohort Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Not Eligible For Lunch","Total Cohort Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Free Lunch","Four Year Graduation Count","Number","14"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Reduced Lunch","Four Year Graduation Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Not Eligible For Lunch","Four Year Graduation Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Free Lunch","Four Year Graduation Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Reduced Lunch","Four Year Graduation Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Not Eligible For Lunch","Four Year Graduation Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Free Lunch","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Reduced Lunch","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Not Eligible For Lunch","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Free Lunch","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Reduced Lunch","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Not Eligible For Lunch","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Free Lunch","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Reduced Lunch","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Not Eligible For Lunch","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Free Lunch","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Eligible For Reduced Lunch","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2015-2016","Not Eligible For Lunch","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Free Lunch","Total Cohort Count","Number","24"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Reduced Lunch","Total Cohort Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Not Eligible For Lunch","Total Cohort Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Free Lunch","Four Year Graduation Count","Number","18"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Reduced Lunch","Four Year Graduation Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Not Eligible For Lunch","Four Year Graduation Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Free Lunch","Four Year Graduation Rate","Percent","75.0"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Reduced Lunch","Four Year Graduation Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Not Eligible For Lunch","Four Year Graduation Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Free Lunch","Still Enrolled After Four Years Count","Number","6"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Reduced Lunch","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Not Eligible For Lunch","Still Enrolled After Four Years Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Free Lunch","Still Enrolled After Four Years Rate","Percent","25.0"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Reduced Lunch","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Not Eligible For Lunch","Still Enrolled After Four Years Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Free Lunch","Other Count","Number","0"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Reduced Lunch","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Not Eligible For Lunch","Other Count","Number","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Free Lunch","Other Rate","Percent","0.0"
"Achievement First Bridgeport Academy District","","2016-2017","Eligible For Reduced Lunch","Other Rate","Percent","-9999"
"Achievement First Bridgeport Academy District","","2016-2017","Not Eligible For Lunch","Other Rate","Percent","-9999"
"Achievement First Hartford Academy District","","2010-2011","Eligible For Free Lunch","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Eligible For Reduced Lunch","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Not Eligible For Lunch","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Eligible For Free Lunch","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Eligible For Reduced Lunch","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Not Eligible For Lunch","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Eligible For Free Lunch","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Eligible For Reduced Lunch","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Not Eligible For Lunch","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Eligible For Free Lunch","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Eligible For Reduced Lunch","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Not Eligible For Lunch","Still Enrolled After Four Years Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Eligible For Free Lunch","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Eligible For Reduced Lunch","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Not Eligible For Lunch","Still Enrolled After Four Years Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Eligible For Free Lunch","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Eligible For Reduced Lunch","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Not Eligible For Lunch","Other Count","Number","-6666"
"Achievement First Hartford Academy District","","2010-2011","Eligible For Free Lunch","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Eligible For Reduced Lunch","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2010-2011","Not Eligible For Lunch","Other Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Free Lunch","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Reduced Lunch","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Not Eligible For Lunch","Total Cohort Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Free Lunch","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Reduced Lunch","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Not Eligible For Lunch","Four Year Graduation Count","Number","-6666"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Free Lunch","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Reduced Lunch","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Not Eligible For Lunch","Four Year Graduation Rate","Percent","-6666"
"Achievement First Hartford Academy District","","2011-2012","Eligible For Free Lunch","Still Enrolled After Four Years Count","Number","-6666"
