"Four-Year Graduation Rates, Trend"
"State of Connecticut, Free/Reduced Price Meal Eligibility"

"",,"Graduates",,,,
"",,"Four-Year Graduation Rate by Year",,,,
"District","Free/Reduced Price Meal Eligibility","2010-11","2011-12","2012-13","2013-14","2014-15"
"State of Connecticut","Eligible For Free Lunch",59.6,66.6,68.6,73.1,73.3
"State of Connecticut","Eligible For Reduced Lunch",78.0,83.5,84.2,87.8,87.8
"State of Connecticut","Not Eligible For Lunch",90.2,93.1,93.3,93.9,95.3

